Description Size Speed Range Firepower Cargo
350r 1 9 2 3 0
Avenger 2 5 4 3 2
Carrack 6 2 10 4 6
Constellation 4 5 7 3 4
Hawk 1 3 2 4 0
Hornet 2 5 3 4 1
Hurricane 2 5 3 5 0
Idris 8 2 7 10 6
m50 1 10 2 2 0
Merchantman 7 3 5 6 8
Orion 10 1 6 2 9
Sabre 2 7 2 5 0
Vanguard 3 4 5 5 2
350s 2 9 3 4 1
AvengerStone 3 6 5 4 3
CarrackFire 7 3 10 5 6
ConstellationRing 5 6 8 3 5
HawkClaw 2 4 3 5 1
HornetFury 3 6 4 5 2
HurricaneTrail 3 6 4 6 2
IdrisKudo 8 4 8 10 7
m69 4 10 3 5 2
MerchantmanOman 8 4 6 7 8
OrionSpiron 10 4 6 3 9
SabreTazer 4 7 4 5 2
VanguardLamp 5 5 5 5 5
350t 3 10 4 5 3
AvengerInfinity 5 5 3 4 4
CarrackBall 6 4 10 7 8
ConstellationWhirl 6 6 7 5 8
HawkEye 4 5 4 5 2
HornetNest 4 7 5 6 2
HurricaneFlame 4 7 5 6 3
IdrisMight 10 4 7 10 6
m99 4 10 4 5 2
MerchantmanWoman 7 5 5 7 10
OrionBlaze 10 5 8 5 9
SabreTooth 4 9 6 7 2
VanguardSteel 5 8 7 8 5
DeathStar 10 10 10 10 10
